class_name,image_path,target
n01872401,n01872401/sketch_50.JPEG,59
n02417914,n02417914/sketch_11.JPEG,202
n02106166,n02106166/sketch_3.JPEG,138
n02056570,n02056570/sketch_40.JPEG,80
n02097298,n02097298/sketch_45.JPEG,116
n02408429,n02408429/sketch_17.JPEG,198
n04004767,n04004767/sketch_3.JPEG,351
n03832673,n03832673/sketch_44.JPEG,329
n01748264,n01748264/sketch_1.JPEG,38
n02325366,n02325366/sketch_18.JPEG,186
n02417914,n02417914/sketch_24.JPEG,202
n02701002,n02701002/sketch_15.JPEG,228
n01698640,n01698640/sketch_37.JPEG,29
n01644900,n01644900/sketch_48.JPEG,23
n02107574,n02107574/sketch_1.JPEG,141
n03803284,n03803284/sketch_42.JPEG,327
n02494079,n02494079/sketch_39.JPEG,218
n02027492,n02027492/sketch_34.JPEG,77
n04296562,n04296562/sketch_13.JPEG,393
n03584829,n03584829/sketch_13.JPEG,299
n04486054,n04486054/sketch_26.JPEG,429
n01744401,n01744401/sketch_3.JPEG,37
n03063689,n03063689/sketch_28.JPEG,265
n02110958,n02110958/sketch_29.JPEG,150
n04507155,n04507155/sketch_25.JPEG,435
n13052670,n13052670/sketch_42.JPEG,498
n02279972,n02279972/sketch_14.JPEG,182
n04336792,n04336792/sketch_30.JPEG,399
n04517823,n04517823/sketch_38.JPEG,437
n07753592,n07753592/sketch_44.JPEG,478
n02992211,n02992211/sketch_13.JPEG,260
n02396427,n02396427/sketch_16.JPEG,194
n04039381,n04039381/sketch_50.JPEG,357
n03888605,n03888605/sketch_43.JPEG,333
n02097298,n02097298/sketch_41.JPEG,116
n12998815,n12998815/sketch_35.JPEG,497
n02087394,n02087394/sketch_25.JPEG,89
n04259630,n04259630/sketch_5.JPEG,389
n03445777,n03445777/sketch_9.JPEG,288
n04040759,n04040759/sketch_21.JPEG,358
n02454379,n02454379/sketch_8.JPEG,211
n03929660,n03929660/sketch_47.JPEG,338
n02690373,n02690373/sketch_21.JPEG,225
n03134739,n03134739/sketch_27.JPEG,271
n02085782,n02085782/sketch_44.JPEG,84
n04404412,n04404412/sketch_42.JPEG,414
n01514668,n01514668/sketch_16.JPEG,4
n04525305,n04525305/sketch_21.JPEG,440
n03642806,n03642806/sketch_47.JPEG,304
n02422699,n02422699/sketch_15.JPEG,203
n02107574,n02107574/sketch_44.JPEG,141
n01985128,n01985128/sketch_48.JPEG,70
n07716906,n07716906/sketch_9.JPEG,470
n02951585,n02951585/sketch_38.JPEG,257
n03874599,n03874599/sketch_6.JPEG,332
n01753488,n01753488/sketch_7.JPEG,41
n02643566,n02643566/sketch_15.JPEG,221
n02108915,n02108915/sketch_18.JPEG,145
n04081281,n04081281/sketch_26.JPEG,363
n02110806,n02110806/sketch_14.JPEG,149
n02009912,n02009912/sketch_10.JPEG,74
n03355925,n03355925/sketch_47.JPEG,281
n04204347,n04204347/sketch_41.JPEG,377
n04591157,n04591157/sketch_44.JPEG,453
n04026417,n04026417/sketch_29.JPEG,354
n09288635,n09288635/sketch_34.JPEG,488
n02113624,n02113624/sketch_36.JPEG,157
n02113023,n02113023/sketch_33.JPEG,156
n04141076,n04141076/sketch_15.JPEG,371
n01614925,n01614925/sketch_30.JPEG,17
n03345487,n03345487/sketch_13.JPEG,279
n01983481,n01983481/sketch_1.JPEG,69
n02092339,n02092339/sketch_34.JPEG,104
n01729322,n01729322/sketch_16.JPEG,32
n03131574,n03131574/sketch_19.JPEG,270
n02102177,n02102177/sketch_9.JPEG,128
n01616318,n01616318/sketch_22.JPEG,18
n04350905,n04350905/sketch_43.JPEG,401
n01601694,n01601694/sketch_46.JPEG,15
n04127249,n04127249/sketch_3.JPEG,368
n03598930,n03598930/sketch_40.JPEG,301
n09193705,n09193705/sketch_7.JPEG,485
n02102177,n02102177/sketch_26.JPEG,128
n03425413,n03425413/sketch_40.JPEG,286
n07248320,n07248320/sketch_21.JPEG,461
n02002556,n02002556/sketch_22.JPEG,71
n02113023,n02113023/sketch_30.JPEG,156
n03445924,n03445924/sketch_19.JPEG,289
n04409515,n04409515/sketch_42.JPEG,415
n04120489,n04120489/sketch_31.JPEG,366
n01806567,n01806567/sketch_34.JPEG,49
n02109047,n02109047/sketch_29.JPEG,146
n01873310,n01873310/sketch_48.JPEG,60
n04540053,n04540053/sketch_36.JPEG,443
n02085620,n02085620/sketch_33.JPEG,83
n04275548,n04275548/sketch_3.JPEG,392
n02641379,n02641379/sketch_44.JPEG,220
n02105056,n02105056/sketch_1.JPEG,132
n02769748,n02769748/sketch_49.JPEG,233
n01774750,n01774750/sketch_34.JPEG,46
n02410509,n02410509/sketch_4.JPEG,199
n03691459,n03691459/sketch_45.JPEG,308
n02002556,n02002556/sketch_48.JPEG,71
n01882714,n01882714/sketch_11.JPEG,61
n09256479,n09256479/sketch_17.JPEG,487
n02109525,n02109525/sketch_8.JPEG,147
n02105412,n02105412/sketch_5.JPEG,134
n02437312,n02437312/sketch_16.JPEG,204
n02939185,n02939185/sketch_21.JPEG,256
n01601694,n01601694/sketch_40.JPEG,15
n03291819,n03291819/sketch_48.JPEG,277
n01749939,n01749939/sketch_7.JPEG,39
n04325704,n04325704/sketch_16.JPEG,396
n03376595,n03376595/sketch_6.JPEG,282
n04131690,n04131690/sketch_46.JPEG,369
n02793495,n02793495/sketch_46.JPEG,236
n02018795,n02018795/sketch_13.JPEG,76
n02494079,n02494079/sketch_25.JPEG,218
n04131690,n04131690/sketch_16.JPEG,369
n04553703,n04553703/sketch_42.JPEG,446
n01833805,n01833805/sketch_4.JPEG,53
n02389026,n02389026/sketch_43.JPEG,192
n02018795,n02018795/sketch_49.JPEG,76
n03942813,n03942813/sketch_22.JPEG,341
n02094114,n02094114/sketch_31.JPEG,107
n03942813,n03942813/sketch_6.JPEG,341
n02129604,n02129604/sketch_42.JPEG,172
n01601694,n01601694/sketch_0.JPEG,15
n04428191,n04428191/sketch_25.JPEG,417
n03916031,n03916031/sketch_24.JPEG,337
n04326547,n04326547/sketch_45.JPEG,397
n04005630,n04005630/sketch_28.JPEG,352
n07717410,n07717410/sketch_32.JPEG,471
n04252225,n04252225/sketch_28.JPEG,386
n02443484,n02443484/sketch_1.JPEG,209
n02672831,n02672831/sketch_3.JPEG,222
n03773504,n03773504/sketch_20.JPEG,319
n02107574,n02107574/sketch_2.JPEG,141
n02113799,n02113799/sketch_21.JPEG,159
n09256479,n09256479/sketch_10.JPEG,487
n02408429,n02408429/sketch_25.JPEG,198
n04370456,n04370456/sketch_48.JPEG,407
n07579787,n07579787/sketch_21.JPEG,462
n01729322,n01729322/sketch_46.JPEG,32
n03759954,n03759954/sketch_11.JPEG,315
n04162706,n04162706/sketch_26.JPEG,374
n03770439,n03770439/sketch_32.JPEG,318
n02100236,n02100236/sketch_11.JPEG,121
n02951585,n02951585/sketch_40.JPEG,257
n02133161,n02133161/sketch_38.JPEG,175
n02236044,n02236044/sketch_27.JPEG,179
n01592084,n01592084/sketch_9.JPEG,14
n04604644,n04604644/sketch_50.JPEG,457
n02011460,n02011460/sketch_18.JPEG,75
n02097047,n02097047/sketch_41.JPEG,113
n12768682,n12768682/sketch_0.JPEG,496
